id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
29960;0001/ 020C00121;50,079642300000000;14,423311399999989;Vodièkova 683;;11000;3000;plastic;;Schäfer/Europa-OV;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29961;0001/ 020C00122;50,079642300000000;14,423311399999989;Vodièkova 683;;11000;3000;paper;2019-05-18 03:22:33;Schäfer/Europa-OV;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29962;0009/ 148C00271;50,107060999999990;14,488425099999972;Sokolovská u Gongu 972/195;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29963;0009/ 148C00272;50,107060999999990;14,488425099999972;Sokolovská u Gongu 972/195;;19000;3000;plastic;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29964;0009/ 148C00273;50,107060999999990;14,488425099999972;Sokolovská u Gongu 972/195;;19000;1500;glass_coloured;2019-05-21 03:36:44;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29965;0009/ 148C00274;50,107060999999990;14,488425099999972;Sokolovská u Gongu 972/195;;19000;1500;glass_white;2019-05-28 05:26:30;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29966;0009/ 148C00275;50,107060999999990;14,488425099999972;Sokolovská u Gongu 972/195;;19000;3000;beverage_cartons;2019-06-22 18:36:42;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29967;0009/ 151C00281;50,110978900000000;14,489127199999984;Podvinný mlýn 2347;;19000;3000;beverage_cartons;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29968;0009/ 151C00282;50,110978900000000;14,489127199999984;Podvinný mlýn 2347;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29969;0009/ 151C00283;50,110978900000000;14,489127199999984;Podvinný mlýn 2347;;19000;3000;plastic;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29970;0009/ 151C00284;50,110978900000000;14,489127199999984;Podvinný mlýn 2347;;19000;1500;glass_coloured;2019-05-24 13:27:14;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29971;0009/ 151C00285;50,110978900000000;14,489127199999984;Podvinný mlýn 2347;;19000;1500;glass_white;2019-05-27 01:01:24;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
